,Job Type,Job Experience,Position,Vacancy Count,Company,Location,Industries,Job Title,Job Requirement,Job Salary,Skills,Date Created,Job Posting Link,Job Id,Language,Career Level,Salary Min,Salary Max
51,Full-time,1 to 4 years,Marketing & PR,1.0,Elvo Indonesia,"Surabaya, Indonesia","Retail Food, Goods, Apparel, & Sport",Content Creator,No Description, 4000000 – 5000000,"Marketing Strategy, Content Marketing, Communication Skills, Digital Marketing, Marketing Communications",2022-04-29,https://www.techinasia.com/jobs/ff51ef5c-d413-445d-94c7-85459e1dde3f,8796891989,en,Junior Level,4000000.0,5000000.0
52,Full-time,1 to 4 years,DevOps & Cloud Management,1.0,Kompas Gramedia,"Jakarta, Indonesia",Technology,Site Reliability Engineer (SRE) Lead - KOMPAS.ID,"Manage system software infrastructure systems for Kompas digital products
Ensure the availability, performance, scalability, and security of infrastructure
Build, release and manage configuration management of infrastructure and application in multiple environments
Within a cross-functional team, collaborate with other engineers specializing
Develop and integrate monitoring, logging, dashboard, and alert systems to quickly and proactively prevent or detect errors
Optimizing infrastructure with repetitive refactors and architecture review", 0 – 0,"Amazon Web Services (AWS), Automation, Reliability, Linux",2022-04-29,https://www.techinasia.com/jobs/fe1511b5-8f3a-4cd9-ae59-48d791fede7d,7014298732,en,Junior Level,0.0,0.0
53,Full-time,1 to 4 years,Project & Product Management,1.0,Kompas Gramedia,"Jakarta, Indonesia",Technology,Product Manager - KOMPAS.ID,"Supervise product development to achieve the expected result
Direct and organize Person in Charge (PIC) in the projects
Define the research strategy to gain consumer insights, identify new products possibility, and increase consumer experiences
Work together with another team and external partners
Represent the company to gain consumer feedback for the product and service.", 0 – 0,"Product Development, Product Management, Management",2022-04-29,https://www.techinasia.com/jobs/796ac724-8764-4134-9d76-f5d4705b62d3,7014298732,en,Junior Level,0.0,0.0
54,Full-time,1 to 4 years,Web Development,2.0,Kompas Gramedia,"Jakarta, Indonesia",Technology,Senior UI/UX Design - KOMPAS.ID,"Translating the product vision through research, sketching, prototyping, user-testing, and iteration related to digital product design.
Designing user flows, wireframes, mockups, and high-fidelity product prototypes according to the UX concept for Kompas digital products. 
Propose a design system that can be used as a reference for the design of Kompas digital products. 
Designing with a high level of usability and aesthetics, in accordance with the product style guide, and can advance product usability and design using relevant methods.
Designing interface element (UI) graphics according to design guidelines in order to increase product usage with appropriate design methods.
Prepares all design assets for submission to the developer. 
Maintain good relationships with the team and related units in the implementation phase.", 6000000 – 8000000,"UI/UX Design, Prototype, Adobe Photoshop, Adobe Illustrator, HTML+CSS, Javascript",2022-04-29,https://www.techinasia.com/jobs/30fdbd7d-62df-43ab-8ba7-4387711c7b54,7014298732,en,Junior Level,6000000.0,8000000.0
55,Full-time,1 to 4 years,Marketing & PR,1.0,Bintango,"Jakarta, Indonesia",Digital Media & Marketing,Marketing Executive,No Description, 5000000 – 6000000,"Sales  Marketing, Digital Marketing, Business Development  Partnerships, Marketing Communications, Communication Skills, Marketing Strategy",2022-04-29,https://www.techinasia.com/jobs/f93bebac-2dbd-45fd-b288-96e9df7202e5,1857389881,en,Junior Level,5000000.0,6000000.0
56,Full-time,1 to 4 years,Marketing & PR,1.0,Lion Parcel,"Jakarta, Indonesia",Logistics,Social Media Specialist,"Designing and implementing social media strategies for Twitter and Instagram that are aligned with Lion Parcel’s business goals & brand objectives.
Managing editorial calendar and creative development process by collaborating with internal brand creative team.
Reaching out to KOL & potential brand partners, as well as actively engaging customers to encourage them to talk about Lion Parcel.", 0 – 0,"Social Media Strategy, Social Media, Copywriting  Editing, Creative Writing",2022-04-29,https://www.techinasia.com/jobs/2bf4006e-6dfd-45dc-bdf9-1fe537986005,3312995843,en,Junior Level,0.0,0.0
57,Full-time,1 to 4 years,Marketing & PR,1.0,Bintango,"Jakarta, Indonesia",Digital Media & Marketing,Senior Digital Marketing,No Description, 8000000 – 14000000,"Sales  Marketing, Digital Marketing, Communication Skills, Marketing, Marketing Strategy, Marketing Communications, Sales Strategy  Management, Content Marketing, Analytical Skills, Community Management, Google Analytics",2022-04-29,https://www.techinasia.com/jobs/e700dc3e-f2e3-482b-a800-a885df340334,1857389881,en,Junior Level,8000000.0,14000000.0
58,Full-time,1 to 4 years,Sales & Business Development,1.0,Lummo (BukuKas),"Jakarta, Indonesia",Technology,Business Development Executive (Jakarta),"Responsible for identifying, prioritizing and acquiring the merchants in targeted categories
Own the full sales cycle from prospecting to close and drive new business sales
Actively searching for new leads through cold-calling, email, or social networks
Collaborate with business owners to provide bigger business opportunities and help to boost their revenue by using LummoSHOP’s platform
Analyze consumer behavior, market insight, field situation, and market trends in your territory
Assist in organizing and coordinating micro internal and external events
Prepare sales forecasts and budgets; set transaction targets in areas like product mix, sales volume, market shares in their territory
Map out the high potential merchants in the category through different information channels (competitor data, industry data, events, etc.)
Drive order and manage the acquisition from end to end - from cold contact through to on-going account management with LummoSHOP
Collaborate with internal monetization teams to facilitate cross-selling", 0 – 0,"Sales  Marketing, Sales, Business Development  Partnerships, Business Development, Negotiation, Inside Sales",2022-04-29,https://www.techinasia.com/jobs/40accea5-f63c-4eed-80ec-552e7e98b3a0,5719445146,en,Junior Level,0.0,0.0
59,Full-time,1 to 4 years,Sales & Business Development,1.0,Lummo (BukuKas),"Surabaya, Indonesia",Technology,Business Development Executive - Surabaya,"Responsible for identifying, prioritizing and acquiring the merchants in targeted categories
Own the full sales cycle from prospecting to close and drive new business sales
Actively searching for new leads through cold-calling, email, or social networks
Collaborate with business owners to provide bigger business opportunities and help to boost their revenue by using LummoSHOP’s platform
Analyze consumer behavior, market insight, field situation, and market trends in your territory
Assist in organizing and coordinating micro internal and external events
Prepare sales forecasts and budgets; set transaction targets in areas like product mix, sales volume, market shares in their territory
Map out the high potential merchants in the category through different information channels (competitor data, industry data, events, etc.)
Drive order and manage the acquisition from end to end - from cold contact through to on-going account management with LummoSHOP
Collaborate with internal monetization teams to facilitate cross-selling", 0 – 0,"Sales  Marketing, Sales, Business Development, Business Development  Partnerships, Inside Sales, Negotiation",2022-04-29,https://www.techinasia.com/jobs/e19b00f2-6d63-4a8e-ad0c-6e49d286ee92,5719445146,en,Junior Level,0.0,0.0
60,Full-time,1 to 4 years,Marketing & PR,1.0,Bintango,"Jakarta, Indonesia",Digital Media & Marketing,Content Marketing Specialist,No Description, 7000000 – 9000000,"Marketing Strategy, Social Media Marketing, Content Marketing, Graphic Design, Digital Marketing, Social Media Strategy, Social Media, Content Management, Content Creation, Content Strategy",2022-04-29,https://www.techinasia.com/jobs/2ad863f3-b074-41bb-a8e0-1a6266975c31,1857389881,en,Junior Level,7000000.0,9000000.0
61,Full-time,1 to 4 years,Sales & Business Development,1.0,Lummo (BukuKas),"Bandung, Java, Indonesia",Technology,Business Development Executive - Bandung,"Responsible for identifying, prioritizing and acquiring the merchants in targeted categories
Own the full sales cycle from prospecting to close and drive new business sales
Actively searching for new leads through cold-calling, email, or social networks
Collaborate with business owners to provide bigger business opportunities and help to boost their revenue by using LummoSHOP’s platform
Analyze consumer behavior, market insight, field situation, and market trends in your territory
Assist in organizing and coordinating micro internal and external events
Prepare sales forecasts and budgets; set transaction targets in areas like product mix, sales volume, market shares in their territory
Map out the high potential merchants in the category through different information channels (competitor data, industry data, events, etc.)
Drive order and manage the acquisition from end to end - from cold contact through to on-going account management with LummoSHOP
Collaborate with internal monetization teams to facilitate cross-selling", 0 – 0,"Sales  Marketing, Business Development  Partnerships, Business Development, Customer Relationship Management, Sales, Inside Sales",2022-04-28,https://www.techinasia.com/jobs/120cefca-2d04-47ff-9127-7ee0fd6d0360,5719445146,en,Junior Level,0.0,0.0
62,Full-time,1 to 4 years,Sales & Business Development,1.0,Mekari (PT. Mid Solusi Nusantara),"Bandung, Java, Indonesia",Technology,Account Manager - Accounting Software (Bandung),"Research companies to contact in.
Start Relationship with potential Accountant or Business Manager for Business Development Sales Rep for Accounting Products.
Make cold and warm phone calls to contacts to follow up or preempt your email communications, manage the entire sales cycle, from prospecting to call, giving demos & closing.
Experiment with different outreach intervals and content to identify successful strategies.
Collaborate with engineering and customer success team to deliver product feedback and feature requests.
Work directly with marketing to discover opportunities from leads, and set appointments from those leads.
Use of strong selling and influencing skills to set up qualified appointments.
Log, track, and maintain customer contact and contact records.", 4000000 – 8000000,"Sales  Marketing, Business Development, Business Development  Partnerships, Sales, Sales Strategy  Management",2022-04-28,https://www.techinasia.com/jobs/1011fb21-a58d-45ed-889e-35e9b00ece00,2196717593,en,Junior Level,4000000.0,8000000.0
63,Full-time,1 to 4 years,Sales & Business Development,1.0,Mekari (PT. Mid Solusi Nusantara),"Jakarta, Indonesia",Technology,Account Manager - Accounting Software (Jakarta),"Research companies to contact in.
Start Relationship with potential Accountant or Business Manager for Business Development Sales Rep for Accounting Products.
Make cold and warm phone calls to contacts to follow up or preempt your email communications, manage the entire sales cycle, from prospecting to call, giving demos & closing.
Experiment with different outreach intervals and content to identify successful strategies.
Collaborate with engineering and customer success team to deliver product feedback and feature requests.
Work directly with marketing to discover opportunities from leads, and set appointments from those leads.
Use of strong selling and influencing skills to set up qualified appointments.
Log, track, and maintain customer contact and contact records.", 4000000 – 8000000,"Accounting, Sales  Marketing, Sales, Sales Strategy  Management, Business Development, Business Development  Partnerships",2022-04-28,https://www.techinasia.com/jobs/5540d6f0-49c4-44a0-b20d-d04361bf5502,2196717593,en,Junior Level,4000000.0,8000000.0
64,Full-time,1 to 4 years,UX/UI Design,1.0,White Horse Group,"Jakarta, Indonesia",Automotive & Transportation,UI/UX Designer,"Minimum of 2 years and have a degree/diploma in Design, Fine Arts, Engineering or related field
Proficient in Adobe Creative Suite (specifically Illustrator, InDesign and Photoshop)
Proficient in prototyping tools such as Figma, Sketch, InVision, etc.
Basic HTML5, CSS3, and JavaScript skills are a plus
Strong attention to detail and have a keen eye for aesthetics
Excellent communication skills and can clearly articulate your ideas, designs, and suggestions
Team player who can collaborate effectively with different stakeholders", 8000000 – 12000000,"Adobe Photoshop, Adobe Illustrator, Adobe Indesign",2022-04-28,https://www.techinasia.com/jobs/26923590-2319-4410-a868-1b7cc1ccbae8,9906153354,en,Junior Level,8000000.0,12000000.0
